city,city_ascii,country,iso2,state,county,display_ascii,nomin_id,osm_id,bb_min_lat,bb_max_lat,bb_min_lon,bb_max_lon,lon,lat,display_name,osm_type,place_class,place_type,importance,zoom,bb_center_lat,bb_center_lon
Peace River,Peace River,Canada,CA,Alberta,,"Peace River, Alberta, Canada",259035460,6211539,56.195103,56.2696496,-117.3603448,-117.2547097,-117.32067067804391,56.23253295,"Peace River, Alberta, Canada",relation,boundary,administrative,0.8699999999999999,13.951665573091612,56.2323763,-117.30752724999999
Red Deer,Red Deer,Canada,CA,Alberta,,"Red Deer, Alberta, Canada",258607319,4166847,52.215729,52.3429183,-113.8977285,-113.718502,-113.8181766,52.2697395,"City of Red Deer, Alberta, Canada",relation,boundary,administrative,0.9244655941955996,13.847116785951135,52.27932365,-113.80811525
West Lincoln,West Lincoln,Canada,CA,Ontario,,"West Lincoln, Ontario, Canada",73266492,6747864628,42.8465259,43.4865259,-79.6513416,-79.0113416,-79.3313416,43.1665259,"Canada Island, Lincoln, Niagara Region, Golden Horseshoe, Ontario, L2R 6P9, Canada",node,place,island,0.655,11.136839882697974,43.166525899999996,-79.3313416
Brokenhead,Brokenhead,Canada,CA,Manitoba,,"Brokenhead, Manitoba, Canada",259549769,11940268,49.9728659,50.2834647,-96.715792,-96.3523946,-96.53183504232231,50.13770465,"Brokenhead, Manitoba, Canada",relation,boundary,administrative,0.78,13.215974713264087,50.128165300000006,-96.5340933
Alnwick/Haldimand,Alnwick/Haldimand,Canada,CA,Ontario,,"Alnwick/Haldimand, Ontario, Canada",259015413,7445437,43.9234947,44.2727223,-78.17894,-77.8906959,-78.04760303007441,44.097441700000005,"Alnwick/Haldimand, Northumberland County, Central Ontario, Ontario, Canada",relation,boundary,administrative,0.6782184742933952,13.30151425571523,44.098108499999995,-78.03481794999999
Saint-Hippolyte,Saint-Hippolyte,Canada,CA,Quebec,,"Saint-Hippolyte, Quebec, Canada",259026544,7698649,45.8482674,45.9969756,-74.0957602,-73.882653,-74.0248093,45.9311755,"Saint-Hippolyte, La Rivière-du-Nord, Laurentides, Québec, Canada",relation,boundary,administrative,0.7251422839229811,13.784790254900022,45.9226215,-73.9892066
Slave Lake,Slave Lake,Canada,CA,Alberta,,"Slave Lake, Alberta, Canada",175898,31657008,55.2410741,55.3210741,-114.8117876,-114.7317876,-114.7717876,55.2810741,"Slave Lake, Town of Slave Lake, Alberta, T0G 2A2, Canada",node,place,town,0.7965275868863175,13.961998826979475,55.2810741,-114.77178760000001
View Royal,View Royal,Canada,CA,British Columbia,,"View Royal, British Columbia, Canada",258602906,2221063,48.4328088,48.4987371,-123.4975656,-123.4186928,-123.4343063,48.4518052,"View Royal, Capital Regional District, British Columbia, Canada",relation,boundary,administrative,0.8889448535430544,13.970407391126216,48.46577295,-123.4581292
La Ronge,La Ronge,Canada,CA,Saskatchewan,,"La Ronge, Saskatchewan, Canada",259450458,11961653,55.0970635,55.1674784,-105.3252614,-105.2491477,-105.2900485,55.1005283,"La Ronge, Saskatchewan, S0J 1L0, Canada",relation,boundary,administrative,0.80265030002841,13.969289176442453,55.13227095,-105.28720455
Saint-Paul,Saint-Paul,Canada,CA,Quebec,,"Saint-Paul, Quebec, Canada",259207664,7706455,45.9045295,46.0127248,-73.4827482,-73.3593458,-73.4463225,45.9842686,"Saint-Paul, Joliette (MRC), Lanaudière, Québec, J0K 3E0, Canada",relation,boundary,administrative,0.7197129847432757,13.91329034227884,45.95862715,-73.421047
Spruce Grove,Spruce Grove,Canada,CA,Alberta,,"Spruce Grove, Alberta, Canada",249414106,810683651,51.026434,51.0291883,-114.4739086,-114.4722222,-114.4724886,51.0281351,"Spruce Grove, Rocky View County, Alberta, T3Z 2X5, Canada",way,highway,footway,0.4949999999999999,15.769033120541769,51.027811150000005,-114.4730654
Summerland,Summerland,Canada,CA,British Columbia,,"Summerland, British Columbia, Canada",259058745,7903305,49.5479743,49.7120458,-119.8050644,-119.616591,-119.666667,49.6,"Summerland, Regional District of Okanagan-Similkameen, British Columbia, Canada",relation,boundary,administrative,0.7699999999999999,13.790169230502457,49.630010049999996,-119.71082770000001
Port-Cartier,Port-Cartier,Canada,CA,Quebec,,"Port-Cartier, Quebec, Canada",259192146,7722335,49.5872613,50.2121001,-67.4882469,-66.7240265,-66.8818986,50.0256962,"Port-Cartier, Sept-Rivières, Côte-Nord, Québec, Canada",relation,boundary,administrative,0.7152377001122088,10.660973265503962,49.899680700000005,-67.1061367
Alfred and Plantagenet,Alfred and Plantagenet,Canada,CA,Ontario,,"Alfred and Plantagenet, Ontario, Canada",259149627,7052053,45.4419812,45.6457067,-75.1638919,-74.7791973,-74.9852273331816,45.5438263,"Alfred and Plantagenet, Prescott and Russell Counties, Eastern Ontario, Ontario, Canada",relation,boundary,administrative,0.8275723342298068,13.457701651142617,45.543843949999996,-74.9715446
Milton,Milton,Canada,CA,Ontario,,"Milton, Ontario, Canada",258420714,2414122,43.4172526,43.628836,-80.1611331,-79.7248295,-79.882817,43.513671,"Milton, Halton Region, Golden Horseshoe, Ontario, Canada",relation,boundary,administrative,0.7597961884202653,13.360008752205387,43.523044299999995,-79.9429813
Port Coquitlam,Port Coquitlam,Canada,CA,British Columbia,,"Port Coquitlam, British Columbia, Canada",258354075,2221142,49.213467,49.2892694,-122.80737,-122.6984785,-122.7805425,49.2621643,"Port Coquitlam, British Columbia, Canada",relation,boundary,administrative,0.9504727171881848,13.949006479863284,49.2513682,-122.75292425
Brantford,Brantford,Canada,CA,Ontario,,"Brantford, Ontario, Canada",259579962,10268812,43.0941149,43.2084745,-80.3535817,-80.1896751,-80.2631733,43.1408157,"Brantford, Southwestern Ontario, Ontario, Canada",relation,boundary,administrative,0.8111705079192806,13.875504307181458,43.1512947,-80.2716284
Lincoln,Lincoln,Canada,CA,Ontario,,"Lincoln, Ontario, Canada",258368523,2388019,43.0923481,43.254844,-79.5142479,-79.3103814,-79.41600688599203,43.17354975,"Lincoln, Niagara Region, Golden Horseshoe, Ontario, Canada",relation,boundary,administrative,0.6392269946660902,13.774723648281325,43.17359605,-79.41231465
East Gwillimbury,East Gwillimbury,Canada,CA,Ontario,,"East Gwillimbury, Ontario, Canada",16418341,1621148102,44.073008,44.083008,-79.4608241,-79.4508241,-79.4558241,44.078008,"East Gwillimbury, Green Lane East, East Gwillimbury, York Region, Golden Horseshoe, Ontario, L3Y 6L1, Canada",node,railway,station,0.7582964020691846,14.913440454976419,44.078008,-79.4558241
Saint-Henri,Saint-Henri,Canada,CA,Quebec,,"Saint-Henri, Quebec, Canada",259083762,8180286,46.6238739,46.7446984,-71.1510766,-70.9479322,-71.067123,46.692077,"Saint-Henri, Bellechasse, Chaudière-Appalaches, Québec, G0R 3E0, Canada",relation,boundary,administrative,0.7303339723144745,13.834860924967442,46.68428615,-71.04950439999999
Notre-Dame-de-l'Île-Perrot,Notre-Dame-de-l'Ile-Perrot,Canada,CA,Quebec,,"Notre-Dame-de-l'Ile-Perrot, Quebec, Canada",259025184,7696234,45.3323717,45.4102255,-73.9764674,-73.8052886,-73.902969,45.351663,"Notre-Dame-de-l'Île-Perrot, Vaudreuil-Soulanges, Montérégie, Québec, Canada",relation,boundary,administrative,0.9784930752648471,13.913462988283412,45.3712986,-73.890878
Stratford,Stratford,Canada,CA,Prince Edward Island,,"Stratford, Prince Edward Island, Canada",297423169,12036958,46.1877635,46.250063,-63.1446779,-63.0331842,-63.08758740484434,46.218993499999996,"Stratford, Town of Stratford, Queens County, Prince Edward Island, Canada",relation,boundary,administrative,0.9309005436300937,13.958173078554982,46.21891325,-63.08893105
Cornwall,Cornwall,Canada,CA,Prince Edward Island,,"Cornwall, Prince Edward Island, Canada",297683457,12074700,46.2038682,46.2777172,-63.2567079,-63.1363482,-63.2182783,46.2275434,"Cornwall, Town of Cornwall, Queens County, Prince Edward Island, C0A 1H0, Canada",relation,boundary,administrative,0.8699999999999999,13.944562695109846,46.2407927,-63.19652805
Dawson Creek,Dawson Creek,Canada,CA,British Columbia,,"Dawson Creek, British Columbia, Canada",259202123,7908931,55.7304214,55.7885881,-120.2893486,-120.1469514,-120.2364453,55.7605306,"Dawson Creek, Peace River Regional District, British Columbia, Canada",relation,boundary,administrative,0.950132071397511,13.948806517371944,55.75950475,-120.21815000000001
Woodstock,Woodstock,Canada,CA,New Brunswick,,"Woodstock, New Brunswick, Canada",259403855,9349948,46.1251287,46.1783146,-67.6311405,-67.5707929,-67.573471,46.150346,"Woodstock, Woodstock Parish, Carleton County, New Brunswick / Nouveau-Brunswick, Canada",relation,boundary,administrative,0.8363742482679513,13.984353167458215,46.15172165,-67.6009667
Matane,Matane,Canada,CA,Quebec,,"Matane, Quebec, Canada",259061188,7998297,48.7179149,48.8794523,-67.6229038,-67.3424226,-67.5295977,48.8468633,"Matane, La Matanie, Bas-Saint-Laurent, Québec, Canada",relation,boundary,administrative,0.6478021975942903,13.689375166357738,48.7986836,-67.4826632
Tay Valley,Tay Valley,Canada,CA,Ontario,,"Tay Valley, Ontario, Canada",258985843,7426115,44.7028956,44.9959454,-76.6087135,-76.1884082,-76.41764687589787,44.85179815,"Tay Valley, Lanark County, Eastern Ontario, Ontario, Canada",relation,boundary,administrative,0.6772775033536222,13.143807122915906,44.849420499999994,-76.39856085
The Nation / La Nation,The Nation / La Nation,Canada,CA,Ontario,,"The Nation / La Nation, Ontario, Canada",189814806,437014017,52.739433,52.7535213,-88.5234525,-88.5056487,-88.51408712780389,52.7464097,"Nibinamik First Nation, ᓃᐱᓇᒥᐦᐠ Nibinamik (Summerbeaver), Nibinamik First Nation, Kenora District, Northwestern Ontario, Ontario, Canada",way,landuse,residential,0.7403958451676492,14.75626979308809,52.746477150000004,-88.5145506
Kirkland,Kirkland,Canada,CA,Quebec,,"Kirkland, Quebec, Canada",258371680,197577,45.4349312,45.4708007,-73.905504,-73.832187,-73.8647559,45.4529194,"Kirkland, Agglomération de Montréal, Montréal (06), Québec, Canada",relation,boundary,administrative,0.6378628547155853,13.988415715801967,45.45286595,-73.86884549999999
Spallumcheen,Spallumcheen,Canada,CA,British Columbia,,"Spallumcheen, British Columbia, Canada",59869425,5340072800,50.2424484,50.5624484,-119.3775407,-119.0575407,-119.2175407,50.4024484,"Spallumcheen, Regional District of North Okanagan, British Columbia, V0E 1B7, Canada",node,place,municipality,0.82,13.289341935483886,50.4024484,-119.2175407
Ste. Anne,Ste. Anne,Canada,CA,Manitoba,,"Ste. Anne, Manitoba, Canada",12478030,1222718610,49.631608,49.711608,-96.6939319,-96.6139319,-96.6539319,49.671608,"Ste. Anne, Town of Ste. Anne, Manitoba, R5H 1B2, Canada",node,place,town,0.8195694614596989,13.961998826979475,49.671608,-96.6539319
Kawartha Lakes,Kawartha Lakes,Canada,CA,Ontario,,"Kawartha Lakes, Ontario, Canada",259018063,7473857,44.0583614,44.9855012,-79.2085137,-78.4254725,-78.7421729,44.3596825,"Kawartha Lakes, Central Ontario, Ontario, Canada",relation,boundary,administrative,0.8623839524837376,8.919954324476684,44.521931300000006,-78.81699309999999
Moose Jaw,Moose Jaw,Canada,CA,Saskatchewan,,"Moose Jaw, Saskatchewan, Canada",237290,52290380,50.241515,50.561515,-105.702908,-105.382908,-105.542908,50.401515,"Moose Jaw, Saskatchewan, S6H 2N4, Canada",node,place,city,0.9091113380080064,13.289341935483886,50.401515,-105.542908
New Glasgow,New Glasgow,Canada,CA,Nova Scotia,,"New Glasgow, Nova Scotia, Canada",258264084,2021428,45.5649738,45.6069276,-62.669087,-62.6242773,-62.6483547,45.5869474,"New Glasgow, Town of New Glasgow, Pictou County, Nova Scotia, Canada",relation,boundary,administrative,0.9315992956191816,13.993670195707477,45.5859507,-62.646682150000004
North Stormont,North Stormont,Canada,CA,Ontario,,"North Stormont, Ontario, Canada",258949289,7052051,45.0869949,45.3434094,-75.2589802,-74.7867592,-75.03346680176028,45.216480950000005,"North Stormont, Stormont, Dundas and Glengarry Counties, Eastern Ontario, Ontario, Canada",relation,boundary,administrative,0.6900583840406884,13.15842390461287,45.215202149999996,-75.0228697
Carleton Place,Carleton Place,Canada,CA,Ontario,,"Carleton Place, Ontario, Canada",259554920,7046264,45.1207527,45.156266,-76.1697945,-76.1069369,-76.1465672,45.1403366,"Carleton Place, Lanark County, Eastern Ontario, Ontario, Canada",relation,boundary,administrative,0.7420753060137233,13.99120137945456,45.13850935,-76.1383657
Comox,Comox,Canada,CA,British Columbia,,"Comox, British Columbia, Canada",307730198,2221300,49.6635401,49.7293594,-124.9573767,-124.8546354,-124.9276204,49.6727575,"Comox, Comox Valley Regional District, British Columbia, Canada",relation,boundary,administrative,0.7699999999999999,13.959459824355095,49.69644975,-124.90600605
Aurora,Aurora,Canada,CA,Ontario,,"Aurora, Ontario, Canada",258347553,2401094,43.957486,44.0354744,-79.4993582,-79.3928828,-79.467545,43.99973,"Aurora, York Region, Golden Horseshoe, Ontario, Canada",relation,boundary,administrative,0.7523201506129431,13.948658877087135,43.9964802,-79.4461205
Drumheller,Drumheller,Canada,CA,Alberta,,"Drumheller, Alberta, Canada",259173148,6633892,51.3216531,51.4887743,-112.8086774,-112.4543816,-112.61851667346612,51.40159695,"Drumheller, Alberta, Canada",relation,boundary,administrative,0.78,13.591965091152613,51.405213700000004,-112.6315295
Shannon,Shannon,Canada,CA,Quebec,,"Shannon, Quebec, Canada",259561778,7716430,46.8546942,46.9869301,-71.6807823,-71.4847523,-71.5164368,46.8871959,"Shannon, La Jacques-Cartier, Capitale-Nationale, Québec, Canada",relation,boundary,administrative,0.6346277588171287,13.825209819625464,46.92081215,-71.5827673
Miramichi,Miramichi,Canada,CA,New Brunswick,,"Miramichi, New Brunswick, Canada",259322482,9569985,46.9246125,47.1047154,-65.6174311,-65.3403302,-65.494995,47.032695,"Miramichi, City of Miramichi, Northumberland County, New Brunswick / Nouveau-Brunswick, Canada",relation,boundary,administrative,0.8740895571926532,13.657154397563088,47.01466395,-65.47888065000001
Whitehorse,Whitehorse,Canada,CA,Yukon,,"Whitehorse, Yukon, Canada",259217918,9561268,60.5536407,60.8461886,-135.2787244,-134.8567287,-135.054932,60.721571,"Whitehorse, Yukon, Canada",relation,boundary,administrative,0.8217013156966357,13.141820180361695,60.69991465,-135.06772654999997
Grey Highlands,Grey Highlands,Canada,CA,Ontario,,"Grey Highlands, Ontario, Canada",259454335,7478454,44.1710355,44.5373996,-80.7032813,-80.2291215,-80.46038959610259,44.35654685,"Grey Highlands, Grey County, Southwestern Ontario, Ontario, Canada",relation,boundary,administrative,0.6253717591619115,12.789648054495975,44.35421755,-80.4662014
Sainte-Anne-des-Plaines,Sainte-Anne-des-Plaines,Canada,CA,Quebec,,"Sainte-Anne-des-Plaines, Quebec, Canada",259035128,7703988,45.7130195,45.8175999,-73.9134547,-73.7301492,-73.818855,45.76417,"Sainte-Anne-des-Plaines, Thérèse-De Blainville, Laurentides, Québec, J0N 1H0, Canada",relation,boundary,administrative,0.9165979186171462,13.87252030802791,45.7653097,-73.82180195000001
Vaughan,Vaughan,Canada,CA,Ontario,,"Vaughan, Ontario, Canada",257959263,324212,43.7498495,43.9243537,-79.7106948,-79.4200471,-79.5268023,43.7941544,"Vaughan, York Region, Golden Horseshoe, Ontario, Canada",relation,boundary,administrative,0.77541340693117,13.651460856650463,43.8371016,-79.56537095
Front of Yonge,Front of Yonge,Canada,CA,Ontario,,"Front of Yonge, Ontario, Canada",259217374,7434059,44.409265,44.5966208,-75.9660425,-75.7776872,-75.85293349059256,44.50220295,"Front of Yonge, Leeds and Grenville Counties, Eastern Ontario, Ontario, K0E 1R0, Canada",relation,boundary,administrative,0.7046341678967198,13.759574941994115,44.502942899999994,-75.87186485000001
Gimli,Gimli,Canada,CA,Manitoba,,"Gimli, Manitoba, Canada",259466766,11940546,50.5064766,50.8171878,-97.1150194,-96.9411839,-97.04711772786553,50.66179565,"Gimli, Manitoba, Canada",relation,boundary,administrative,0.78,13.62838457415751,50.6618322,-97.02810165
Vegreville,Vegreville,Canada,CA,Alberta,,"Vegreville, Alberta, Canada",162140714,299135424,53.4827945,53.512701,-112.1042793,-112.0166301,-112.05,53.5,"Vegreville, Town of Vegreville, Alberta, Canada",way,place,town,0.7124017819522812,13.988475717719483,53.49774775,-112.06045470000001
Torbay,Torbay,Canada,CA,Newfoundland and Labrador,,"Torbay, Newfoundland and Labrador, Canada",296684043,2804096,47.6255681,47.6957617,-52.795985,-52.6656804,-52.726986,47.6576953,"Torbay, Newfoundland, Newfoundland and Labrador, Canada",relation,boundary,administrative,0.98,13.942754190595336,47.6606649,-52.7308327
Argyle,Argyle,Canada,CA,Nova Scotia,,"Argyle, Nova Scotia, Canada",259179685,9271584,43.7821107,43.8322437,-65.8694717,-65.8047364,-65.8566777,43.7955169,"Argyle, Argyle Municipal District, Yarmouth County, Nova Scotia, B0W 1W0, Canada",relation,boundary,administrative,0.7699999999999999,13.984102789315887,43.8071772,-65.83710405
Burlington,Burlington,Canada,CA,Ontario,,"Burlington, Ontario, Canada",258707790,2407513,43.2862845,43.4765533,-79.9592676,-79.713939,-79.7966835,43.3248924,"Burlington, Halton Region, Golden Horseshoe, Ontario, Canada",relation,boundary,administrative,0.8239223564113315,13.679774569058829,43.3814189,-79.83660330000001
Hope,Hope,Canada,CA,British Columbia,,"Hope, British Columbia, Canada",258642434,2221185,49.3481265,49.4298553,-121.5758249,-121.3570603,-121.4413515,49.3799438,"Hope, Fraser Valley Regional District, British Columbia, Canada",relation,boundary,administrative,0.7699999999999999,13.881564700344319,49.388990899999996,-121.4664426
